Year,Event,Key_Figure,Location,Production_Million_Tonnes,Key_Metric,Notes,Source
1867,First iron ore smelted in SA,Unknown,Near Rustenburg (Transvaal),Unknown,First smelting,Early attempts to smelt iron ore near Rustenburg; small-scale,Wikipedia - Mining industry of South Africa
1870s,Iron ore discovered in Thabazimbi,Unknown,"Thabazimbi, Transvaal",Unknown,Unknown,Major deposits found in Limpopo; later developed for steel industry,Wikipedia - Thabazimbi mine
1928,ISCOR founded by SA government,Hendrik van der Bijl,Pretoria,Unknown,State corporation,Iron and Steel Corporation (ISCOR) founded to reduce steel import dependency,Wikipedia - ISCOR
1930s,Thabazimbi mine begins operations,ISCOR,"Thabazimbi, Limpopo",Unknown,Unknown,ISCOR develops Thabazimbi iron ore deposit for domestic steel production,Wikipedia - Thabazimbi mine
1940s,Sishen deposit discovered,ISCOR,Northern Cape,Unknown,Unknown,Major iron ore deposit discovered in Northern Cape near Kathu,Wikipedia - Sishen mine
1950s,Sishen mine development,ISCOR,"Sishen, Northern Cape",~2,2 million tonnes/yr,ISCOR develops Sishen open-pit mine; becomes SA's largest iron ore mine,Wikipedia - Sishen mine
1960s,Saldanha Bay export terminal planned,ISCOR/Transnet,Saldanha Bay,Unknown,Port planning,Railway and port development for Sishen ore export,Wikipedia - Saldanha Bay terminal
1970s,Sishen-Saldanha railway completed,Transnet (Spoornet),Northern Cape-Western Cape,~10,~10 million tonnes/yr,861km heavy-haul railway; starts operations to Saldanha Bay port,Wikipedia - Sishen-Saldanha railway line
1976,Saldanha Bay terminal operational,Transnet,Saldanha Bay,Unknown,First shipment,First iron ore shipment leaves Saldanha; capacity ~18 million tonnes/yr,Wikipedia - Saldanha Bay
1980s,ISCOR privatization considered,SA Government,South Africa,~20,~20 million tonnes/yr,ISCOR struggles with inefficiency; privatization debate begins,Wikipedia - ISCOR
1990s,Iron ore production grows,ISCOR,Northern Cape,~25,~25 million tonnes/yr,Post-sanctions era opens export markets; production increases,Wikipedia - Mining industry of South Africa
2001,ISCOR privatized; sold to Kumba Resources,SA Government,South Africa,Unknown,Privatization,ISCOR sold for R4.7 billion; renamed Kumba Resources,Wikipedia - Kumba Iron Ore
2000s,Kumba becomes Anglo American subsidiary,Anglo American,South Africa,Unknown,Corporate,Kumba expands Sishen and Kolomela; Anglo American majority owner,Wikipedia - Anglo American
2008,Global iron ore price boom,Industry,Global,Unknown,Price boom,Commodity super-cycle pushes iron ore prices from ~$30 to ~$200/tonne,Wikipedia - Iron ore market
2010,Kolomela mine commissioned,Kumba Iron Ore,"Postmasburg, Northern Cape",Unknown,~9 million tonnes/yr,Kolomela (formerly Sishen South) begins production; extends mine life,Wikipedia - Kolomela mine
2012,SA iron ore production ~67 million tonnes,USGS,South Africa,67,67 million tonnes/yr,Production peaks; SA is 5th-6th largest global producer,USGS Mineral Commodity Summary
2014,Iron ore price crash,Global market,Global,Unknown,Price crash,Price collapses from ~$130 to ~$40/tonne; cost pressure on SA mines,Wikipedia - Iron ore price
2015,SA production declines,Industry,Northern Cape,~63,63 million tonnes/yr,Lower prices and rail constraints reduce output,USGS Mineral Commodity Summary
2017,Transnet rail performance deteriorates,Transnet,Sishen-Saldanha line,Unknown,Logistics,Locomotive shortages cut capacity; Kumba warns of lost revenue,Wikipedia - Transnet crisis
2020,SA iron ore production ~71 million tonnes,USGS,South Africa,71,71 million tonnes/yr,Post-COVID demand recovery drives production rebound,USGS Mineral Commodity Summary
2021,China iron ore demand surges,China steel mills,Global,Unknown,Import record,China imports record 1.2 billion tonnes of iron ore; SA shipments increase,Wikipedia - Iron ore
2022,SA production ~76 million tonnes,DMR,Northern Cape,76,76 million tonnes/yr,Kumba recapitalizes Sishen; production highest in a decade,DMR Mining Statistics
2023,Transnet rail crisis deepens,Transnet,Sishen-Saldanha line,Unknown,Rail underperformance,Kumba reports R5 billion+ in lost revenue from rail failures,"Kumba Iron Ore, Wikipedia - Transnet"
2023,Kumba invests in private rail solution,Kumba Iron Ore,Northern Cape,Unknown,Private rail,Kumba explores BOOT model to bypass Transnet with private rail operator,Kumba Iron Ore annual report
2024,SA production ~71 million tonnes,Industry,Northern Cape,71,71 million tonnes/yr,Production stable; rail and infrastructure still key constraints,Industry data
2025,Sishen reserves sufficient decades,Kumba / USGS,"Sishen, Northern Cape",Unknown,~1500 Mt reserves,Sishen mine alone holds ~1500 Mt of reserves; decades of mining ahead,USGS Mineral Commodity Summary 2025
2026,Green steel transition prospects,Industry,Global/SA,Unknown,New market,Green hydrogen-based steel could increase demand for high-grade SA iron ore,Industry projections
