Year,Event,Key_Figure,Location,Production_Million_Tonnes,Key_Metric,Notes,Source
1869,Commercial coal mining begins,Unknown,Natal,Unknown,Unknown,Following discovery of coal deposits; small-scale operations,Wikipedia - Coal in South Africa
1923,Eskom (ESCOM) founded,Hendrik van der Bijl,South Africa,Unknown,Unknown,Established as Electricity Supply Commission; first coal-powered electricity generation,Wikipedia - Eskom
1928,Congella Power Station completed,Eskom,Durban,Unknown,Unknown,One of first coal-fired power stations; 128 MW capacity,Wikipedia - Eskom
1928,Salt River Power Station completed,Eskom,Cape Town,Unknown,Unknown,Coal-fired power station; one of first Eskom plants,Wikipedia - Eskom
1935,Witbank coal-fired power station opened,Eskom,Witbank,Unknown,128 MW,Partnership with Victoria Falls and Transvaal Power Company; served mining industry,Wikipedia - Eskom
1948,Eskom buys Victoria Falls and Transvaal Power Company,Eskom,South Africa,Unknown,Unknown,Purchased for £14.5 million (~£2.55 billion in 2017); consolidates coal power monopoly,Wikipedia - Eskom
1960,Eskom expansion begins,Unknown,South Africa,Unknown,4000 MW,Expansion period 1960-1990: capacity grows from 4000 MW to 40000 MW,Wikipedia - Eskom
1967-1976,First generation of "six-pack" power stations,Eskom,Mpumalanga,Unknown,Multiple GW,Standardized coal-fired plants with 6 large generator units each; low-cost production,Wikipedia - Eskom
1971-1975,Arnot Power Station constructed,Eskom,Mpumalanga,Unknown,2352 MW,Part of "six-pack" expansion; completed 1975,Wikipedia - Eskom
1974,Koeberg nuclear plant construction starts,Eskom,Western Cape,Unknown,Unknown,Government nuclear program; alternative to coal expansion,Wikipedia - Eskom
1976-1984,Major coal power plant construction,Eskom,Mpumalanga,Unknown,~15 GW,Construction of Duvha (3600 MW), Kriel (3000 MW), Matla (3600 MW); period of rapid expansion,Wikipedia - Eskom
1981,National 400 kV power network established,Eskom,South Africa,Unknown,Unknown,Nationwide high-voltage transmission network; enables coal distribution,Wikipedia - Eskom
1985-1990,Second generation power stations,Eskom,South Africa,Unknown,~12 GW,Lethabo (3708 MW), Tutuka (3654 MW), Kendal (4116 MW) - highest capacity coal plant,Wikipedia - Eskom
1995,Coal production ~255+ million tonnes,Unknown,South Africa,255,Unknown,Peak coal output period; household coal use widespread,Wikipedia - Coal in South Africa
1995,1 million households dependent on coal,Unknown,South Africa,Unknown,1,000,000 households,Lower-income households use coal for cooking, heating, lighting,Wikipedia - Coal in South Africa
2000,Coal accounts for ~77% of energy,Unknown,South Africa,Unknown,77%,Dominant energy source for South Africa's economy,Wikipedia - Coal in South Africa
2004,Coal mining generates R39 billion,Unknown,South Africa,Unknown,R39 billion,Direct employment: 50,000 workers; major economic contributor,Wikipedia - Coal in South Africa
2006,Five largest coal companies control 85% production,Anglo American / South32 / Sasol / Glencore / Exxaro,South Africa,Unknown,85%,Market concentration among major mining corporations,Wikipedia - Coal in South Africa
2007,Energy crisis triggers coal demand,Unknown,South Africa,Unknown,Unknown,Load shedding begins; demand exceeds coal-fired generation capacity,Wikipedia - Eskom
2007,Medupi and Kusile construction begins,Eskom,Limpopo/Mpumalanga,Unknown,~8 GW,New "six-pack" plants; massive cost overruns and delays begin,Wikipedia - Eskom
2011,Coal production 255+ million tonnes,Unknown,South Africa,255,Unknown,Continuing high production; 7th largest producer globally,Wikipedia - Coal in South Africa
2015,Coal industry employment ~80,000,Unknown,South Africa,Unknown,80,000,Down from peak of 135,000 in 1981; mechanization reduces jobs,Wikipedia - Coal in South Africa
2017,Gupta family coal contracts worth R11.7 billion,Gupta family,South Africa,Unknown,R11.7 billion,State capture corruption; inappropriate coal supply agreements,Wikipedia - Eskom
2018,Coal production 255+ million tonnes,Unknown,South Africa,255,Unknown,7th largest producer and consumer globally; 30% exported,Wikipedia - Coal in South Africa
2018,Coal represents 42 GWs capacity,Eskom,South Africa,Unknown,42 GW,Dominant generation source; but approaching retirement age for aging plants,Wikipedia - Coal in South Africa
2019,2000+ annual deaths from coal pollution,Various researchers,South Africa,Unknown,2000+,Study estimate; Eskom later disputed figure,Wikipedia - Coal in South Africa
2019,Load shedding crisis deepens,Eskom,South Africa,Unknown,Unknown,Multiple power station failures; coal plant maintenance issues,Wikipedia - Eskom
2019,South Africa reaches COP26 agreement,Government/International,South Africa,Unknown,$8.5 billion,$8.5 billion climate finance to transition away from coal,Wikipedia - Coal in South Africa
2019,Medupi and Kusile cost overruns,Eskom,Mpumalanga/Limpopo,Unknown,R139 billion,R139 billion theft probed; corruption in construction; massive delays,Wikipedia - Eskom
2020-2023,Winter blackouts reach Stage 6,Eskom,South Africa,Unknown,Stage 6,Worst load shedding period; 12-hour daily power cuts; coal plant failures,Wikipedia - Eskom
2021,Coal seam fires still burning,Unknown,Witbank,Unknown,Unknown,Transvaal and Delagoa Bay Collieries burning since 1953; never rehabilitated,Wikipedia - Coal in South Africa
2023,Eskom claims 330 annual deaths from coal,Eskom,South Africa,Unknown,330,Contested figure; researchers estimate 800-2000 deaths,Wikipedia - Coal in South Africa
2023,Coal PM2.5 emissions study,Independent researchers,South Africa,Unknown,800,Conservative estimate for PM2.5 health impacts alone,Wikipedia - Coal in South Africa
2024,Eskom tariff hike applications,Eskom,South Africa,Unknown,44%,Proposed 44% electricity hike for 2024-2025; coal cost driver,Wikipedia - Eskom
2025,Green hydrogen facility planning,Eskom,Johannesburg,Unknown,Unknown,Pilot renewable energy facility; shift away from coal focus,Wikipedia - Eskom
2025,Lab-grown diamonds disrupt coal transition,Various,Global,Unknown,Unknown,Climate finance focus shifts; coal transition slows competing priorities,Wikipedia articles
