Year,Event,Key_Figure,Location,Production_Carats,Market_Share_Percent,Notes,Source
1869,Star of South Africa diamond discovered (83.5 carats),Unknown,Hopetown near Orange River,83.5,Unknown,Triggered diamond rush in South Africa,Wikipedia - De Beers
1870,Cecil Rhodes arrives in South Africa,Cecil Rhodes,Durban,Unknown,Unknown,Aged 16; later joins diamond fields,Wikipedia - Cecil Rhodes
1871,Diamonds discovered at Vooruitzigt farm,De Beer brothers,Vooruitzicht/Kimberley,Unknown,Unknown,Later site of Big Hole mine,Wikipedia - De Beers
1871,Cecil Rhodes enters Kimberley diamond fields,Cecil Rhodes,Kimberley,Unknown,Unknown,Aged 18; manages brother's mining claims,Wikipedia - Cecil Rhodes
1872,Cecil Rhodes meets Charles Rudd,Cecil Rhodes & Charles Rudd,Kimberley,Unknown,Unknown,Begin diamond mining partnership,Wikipedia - Cecil Rhodes
1874-1875,Diamond fields depression period,Unknown,Kimberley,Unknown,Unknown,Rhodes and Rudd consolidate interests; obtain water pump contract,Wikipedia - Cecil Rhodes
1888,De Beers Consolidated Mines formed,Cecil Rhodes & Barney Barnato,Kimberley,Unknown,90,Merger of Rhodes and Barnato companies; financed by N.M. Rothschild & Sons; £200,000 capital,Wikipedia - De Beers
1889,Strategic partnership with London Diamond Syndicate,Cecil Rhodes,London,Unknown,Unknown,Agreement to regulate output and maintain prices; De Beers gains near-monopoly,Wikipedia - De Beers
1890,De Beers monopoly sealed,Cecil Rhodes,Kimberley/London,Unknown,90,De Beers controls 90% of world diamond supply,Wikipedia - De Beers
1891-1892,Trade slump - supply curtailed to maintain prices,De Beers,Kimberley,Unknown,90,Diamond Syndicate restricts supply to support prices,Wikipedia - De Beers
1896,Cecil Rhodes' term as Cape Colony PM ends,Cecil Rhodes,Cape Colony,Unknown,90,After Jameson Raid failure; continued involvement with De Beers,Wikipedia - Cecil Rhodes
1898,Diamonds discovered near Pretoria,Unknown,Transvaal,Unknown,Unknown,Leads to Premier Mine discovery,Wikipedia - De Beers
1902,Cullinan Diamond found at Premier Mine,Thomas Cullinan,Pretoria,3,106,Largest rough diamond ever discovered; Cullinan refuses to join De Beers cartel,Wikipedia - De Beers
1902,Cecil Rhodes dies,Cecil Rhodes,Muizenberg,Unknown,90,Age 48; De Beers controls 90% of world production,Wikipedia - Cecil Rhodes
1908,Diamonds discovered in German South West Africa,Unknown,German South West Africa,Unknown,Unknown,Ernest Oppenheimer becomes agent for London Syndicate,Wikipedia - De Beers
1910,Ernest Oppenheimer appointed mayor of Kimberley,Ernest Oppenheimer,Kimberley,Unknown,Unknown,Rises to prominence; emphasizes scarcity value of diamonds,Wikipedia - De Beers
1926,Ernest Oppenheimer joins De Beers board,Ernest Oppenheimer,London,Unknown,Unknown,Previously founded Anglo American mining company,Wikipedia - De Beers
1929,Ernest Oppenheimer becomes De Beers chairman,Ernest Oppenheimer,London,Unknown,Unknown,Consolidates global monopoly over diamond industry,Wikipedia - De Beers
1930s,Experimental work on diamond drills,De Beers,Kimberley,Unknown,Unknown,Pioneering use of diamond drills; enables Free State Gold Rush,Wikipedia - De Beers
1945,US Justice Department files antitrust case against De Beers,Unknown,USA,Unknown,Unknown,Response to wartime attempts to negotiate Sherman Act exemption,Wikipedia - De Beers
1947,Frances Gerety coins "A Diamond is Forever" slogan,Frances Gerety,USA,Unknown,Unknown,For N.W. Ayer & Son advertising campaign; becomes most successful 20th century slogan,Wikipedia - De Beers
1955,De Beers opens new combined Anglo American headquarters,Ernest Oppenheimer,London,Unknown,Unknown,Integrates Anglo American and De Beers operations,Wikipedia - De Beers
1957,Ernest Oppenheimer dies; Harry Oppenheimer takes over,Harry Oppenheimer,London,Unknown,Unknown,Continues monopoly; expands to multiple countries,Wikipedia - De Beers
1960s-1970s,De Beers market dominance peak,Harry Oppenheimer,Multiple,Unknown,85,De Beers controls 80-85% of rough diamond distribution,Wikipedia - De Beers
1973,Anglo and De Beers account for major South African economic output,De Beers Group,South Africa,Unknown,Unknown,"10% of South Africa's GNP and 30% of country's exports",Wikipedia - De Beers
1975,De Beers forced to divest American assets,De Beers,USA,Unknown,Unknown,To avoid Sherman Antitrust Act violation,Wikipedia - De Beers
1982,Harry Oppenheimer steps down as chairman,Nicky Oppenheimer,London,Unknown,Unknown,Ends era of direct Oppenheimer leadership,Wikipedia - De Beers
1980s,De Beers market dominance period,De Beers,Global,Unknown,90,Controls up to 90% of world diamond supply,Wikipedia - De Beers
1999,Global Witness campaign on blood diamonds,Global Witness,Global,Unknown,Unknown,Triggers UN investigation into conflict diamonds,Wikipedia - De Beers
2000,De Beers stops all outside diamond buying,De Beers,Global,Unknown,63,De Beers market control drops to 63% (from 90%),Wikipedia - De Beers
2000,De Beers business model changes,De Beers,Global,Unknown,63,Response to competition from Canada and Australia; blood diamond concerns,Wikipedia - De Beers
2002,Kimberley Process Certification Scheme created,UN/De Beers,Global,Unknown,Unknown,Sets requirements for controlling rough diamond production and trade,Wikipedia - De Beers
2004,De Beers pleads guilty to industrial diamond price fixing,De Beers,USA,Unknown,Unknown,Pays $10 million fine for 1994 collusion with General Electric,Wikipedia - De Beers
2008,De Beers uses blockchain to track diamonds,De Beers,Global,Unknown,Unknown,Successfully tracks 100 high-value diamonds from mine to retailer,Wikipedia - De Beers
2008,De Beers launches Lightbox synthetic diamond brand,De Beers,Global,Unknown,Unknown,Lab-grown diamonds at $200-$800 per carat,Wikipedia - De Beers
2011,Oppenheimer family sells 40% stake to Anglo American,Anglo American & De Beers,London,Unknown,85,Sale for £3.2 billion ($5.1 billion); ends 80-year Oppenheimer dynasty,Wikipedia - De Beers
2013,De Beers pays $295 million class-action settlement,De Beers,USA,Unknown,Unknown,Price fixing accusations; appealed but ultimately paid,Wikipedia - De Beers
2018,De Beers market share continues to decline,De Beers,Global,Unknown,29.5,Market share drops from 90% (1980s) to 29.5%,Wikipedia - De Beers
2019,De Beers launches Tracr blockchain traceability platform,De Beers,Global,Unknown,Unknown,End-to-end traceability from mine to store,Wikipedia - De Beers
2024,Lab-grown diamonds 90% cheaper than mined diamonds,Industry,Global,Unknown,Unknown,"Lab-grown prices at ~10% of mined diamonds; Lightbox brand discontinued",Wikipedia - De Beers
2024,Anglo American announces intention to spin off or sell De Beers,Anglo American,London,Unknown,85,De Beers currently owned 85% by Anglo American; 15% by Botswana,Wikipedia - De Beers
2025,De Beers holds $2 billion in unsold mined diamonds,De Beers,Global,Unknown,Unknown,Decline in demand for natural diamonds; lab-grown competition,Wikipedia - De Beers
