Year,Event,Key_Figure,Location,Production_Tonnes,Key_Metric,Notes,Source
1801,Vanadium discovered,Andrés Manuel del Río,Mexico,Unknown,Unknown,Spanish mineralogist discovers element in Mexican brown lead ore (vanadinite),Wikipedia - Vanadium
1805,Discovery disputed,Hippolyte Victor Collet-Descotils,France,Unknown,Unknown,French chemist incorrectly claims element is impure chromium; del Río accepts and retracts claim,Wikipedia - Vanadium
1831,Vanadium rediscovered,Nils Gabriel Sefström,Sweden,Unknown,Unknown,Swedish chemist rediscovers element in iron ore; renames it "vanadium" after Norse goddess Vanadís,Wikipedia - Vanadium
1867,Pure metal first isolated,Henry Enfield Roscoe,Unknown,Unknown,Unknown,First successful isolation of pure vanadium metal by reduction of vanadium chloride,Wikipedia - Vanadium
1896,Industrial vanadium use begins,Unknown,Europe/USA,Unknown,Unknown,Vanadium begins manufacturing in special steels; few ore deposits known globally,Wikipedia - Vanadium
1899-1906,Spanish mines dominated,Unknown,Santa Marta/Badajoz,Unknown,Unknown,Main vanadium deposits exploited from Spain; vanadinite mineral extracted,Wikipedia - Vanadium
1905,Ford Model T chassis,Henry Ford,USA,Unknown,Unknown,Model T uses vanadium steel in chassis; revolutionary alloy increases strength while reducing weight,Wikipedia - Vanadium
1900-1920,Peruvian mines dominate,American Vanadium Co.,Cerro de Pasco/Minas Ragra,Unknown,Unknown,Large deposit discovered near Junín Peru; becomes economically significant source,Wikipedia - Vanadium
1920,Peru supplies world vanadium,Unknown,Peru,Unknown,66%,Two-thirds of world vanadium production supplied by Minas Ragra mine (patrónite),Wikipedia - Vanadium
1910-1920,Uranium mining begins,Unknown,Various,Unknown,Unknown,Carnotite (uranium ore) mining increases; vanadium becomes available as byproduct,Wikipedia - Vanadium
1927,Pure vanadium production method,Unknown,Unknown,Unknown,Unknown,Pure vanadium produced by reducing vanadium pentoxide with calcium,Wikipedia - Vanadium
1911,Vanadium discovered in living organisms,Martin Henze,Unknown,Unknown,Unknown,German chemist finds vanadium in hemovanadin proteins in sea squirts,Wikipedia - Vanadium
1952,Superconductor discovery,Unknown,Unknown,Unknown,Unknown,First A15 phase superconductor discovered: V3Si (vanadium-silicon); 17.5 Tesla magnets possible,Wikipedia - Vanadium
1980s,Vanadium redox batteries developed,Unknown,Unknown,Unknown,Unknown,Commercial development of all-vanadium redox flow batteries for grid energy storage,Wikipedia - Vanadium
1990,Vanadium global production,Unknown,China/South Africa/Russia,Unknown,Unknown,Major producers shift from Peru to modern sources; China emerges as leading producer,Wikipedia - Vanadium
2005,Vanadium pentoxide catalysts,Unknown,Global,Unknown,Unknown,V2O5 widely used in contact process for sulfuric acid production (80% industrial use),Wikipedia - Vanadium
2000-2020,Ferrovanadium dominance,Unknown,Global,Unknown,85%,Approximately 85% of vanadium used as ferrovanadium (steel alloy additive),Wikipedia - Vanadium
2010,South African production begins,Evraz Highveld,Witbank/Mpumalanga,Unknown,Unknown,South Africa becomes major vanadium producer through steel slag recovery process,Wikipedia - Vanadium
2015,Vanadium battery development,Various researchers,Global,Unknown,Unknown,Renewed interest in vanadium redox batteries for renewable energy storage,Wikipedia - Vanadium
2020,VB2 super-battery research,Various,Global,Unknown,Unknown,New vanadium-boron batteries show 11+ electron release; higher capacity than lithium,Wikipedia - Vanadium
2021,Global production distribution,USGS,China/South Africa/Russia,Unknown,96%,Three countries produce 96% of global vanadium; China 70% (mostly as steel byproduct),Wikipedia - Vanadium
2022,Vanadium production,Unknown,Global,100000,tonnes,Global production: ~100,000 tonnes; 90% recovered from steel slag; 10% primary extraction,Wikipedia - Vanadium
2022,China dominance,Unknown,China,70000,70%,China produces 70% of world vanadium; Russia and South Africa account for ~26%,Wikipedia - Vanadium
2023,Vanadium applications,Unknown,Global,Unknown,Multi-use,Steel alloys (85%), catalysts (sulfuric acid), batteries, superconductors, tool steels,Wikipedia - Vanadium
2024,High-speed tool steel,Unknown,Global,Unknown,1-5% V content,Vanadium content 1-5% in HSS tools; 0.15-0.25% in high-carbon steel alloys,Wikipedia - Vanadium
2025,Occupational exposure limits,OSHA,USA,Unknown,0.05-0.1 mg/m3,OSHA workplace exposure limits for vanadium pentoxide dust and fumes; toxicity concerns,Wikipedia - Vanadium
2025,Vanadium environmental presence,Unknown,Global,Unknown,110000 tons/year,Estimated 110,000 tons vanadium released annually by burning fossil fuels,Wikipedia - Vanadium
2025,Seawater vanadium content,Researchers,Oceans,Unknown,30 nM,Vanadium abundant in seawater; average concentration 30 nanomolar (1.5 mg/m³),Wikipedia - Vanadium
2026,South African vanadium outlook,Mining companies,Witbank,Unknown,Unknown,South Africa positioned as second-largest producer; mining industry faces challenges and transitions,Wikipedia - Vanadium
