Year,Event,Key_Figure,Location,Production_Million_Tonnes,Key_Metric,Notes,Source
1797,Chromium discovered as element,Louis Nicolas Vauquelin,France,Unknown,First isolation,French chemist discovers chromium; produces metal by heating crocoite with charcoal,Wikipedia - Chromium
1827,Chromium used in dyes,Various,Europe,Unknown,Unknown,Potassium dichromate used as dye mordant; chemical industry interest,Wikipedia - Chromium
1893,Stainless steel invented,Harry Brearley,England,Unknown,Unknown,English metallurgist invents stainless steel containing ~12% chromium; revolutionizes alloys,Wikipedia - Stainless steel
1900s,Chrome discovered in Bushveld Complex,Various,Transvaal,Unknown,Unknown,"Chromite deposits identified in Bushveld Igneous Complex, Transvaal",Wikipedia - Bushveld Igneous Complex
1920s,First commercial chrome mining in SA,Various,Limpopo/Mpumalanga,Unknown,Small-scale,Early small-scale chrome mining begins; near Lydenburg and Steelpoort,Wikipedia - Mining industry of South Africa
1940s,WWII demand drives chrome expansion,Various,Bushveld Complex,Unknown,~0.5 million tonnes,Strategic demand for ferrochrome in military steel production,Wikipedia - Chromite
1950s,SA becomes major chrome exporter,Various,Bushveld Complex,~1,~1 million tonnes,Post-war steel boom; SA emerges as reliable chrome source,Wikipedia - Chromite market
1960s,Ferrochrome smelting grows in SA,Industry,Withbank/Mpumalanga,~1.5,~1.5 million tonnes,"Ferrochrome smelting begins in SA, adding value to raw chromite ore",Wikipedia - Ferrochrome
1970s,SA chrome production ~3 million tonnes,Industry,Bushveld Complex,~3,3 million tonnes/yr,Expansion of mines in Steelpoort valley and Western Limb,Wikipedia - Mining industry of South Africa
1975,SA supplies ~30% of world chrome,USGS,South Africa,~3,~30% share,South Africa captures significant market share; Bushveld cost advantage,USGS Minerals Yearbook
1980s,SA production ~3-4 million tonnes,Industry,Bushveld Complex,~4,4 million tonnes/yr,Steady growth; ferrochrome plant building at Witbank and Middelburg,Wikipedia - Samancor Chrome
1990s,Samancor Chrome formed,Various,Bushveld Complex,~5,5 million tonnes/yr,Samancor becomes world's largest ferrochrome producer; power and rail advantages,Wikipedia - Samancor Chrome
2000,SA holds ~70% of world chrome reserves,USGS,South Africa,Unknown,~70% of world,South Africa possesses 70%+ of global chromite reserves,USGS Mineral Commodity Summary
2004,SA chrome production ~7.5 million tonnes,USGS,South Africa,7.5,7.5 million tonnes/yr,SA produces 7.5M tonnes; 46% of world production,USGS Minerals Yearbook
2006,Glencore/Xstrata acquires stake in Samancor,Glencore/Xstrata,Bushveld Complex,Unknown,Corporate,Glencore enters SA chrome market; consolidation trend,Wikipedia - Samancor Chrome
2010,Ferrochrome prices boom,Global,South Africa,Unknown,~$1.30/lb,China demand pushes ferrochrome prices to record levels,Wikipedia - Ferrochrome
2015,SA chrome production ~15 million tonnes,USGS,South Africa,15,15 million tonnes/yr,SA produces 15M tonnes; world's #1 producer by wide margin,USGS Mineral Commodity Summary
2019,Eskom load shedding hits chrome smelting,Eskom,Withbank/Middelburg,Unknown,Energy crisis,Power interruptions affect energy-intensive ferrochrome smelters; some forced to shut,Wikipedia - South African energy crisis
2020,Chrome export value ~$4 billion,Industry,South Africa,~16,~$4 billion,Chrome and ferrochrome remain top SA export earners,Industry data
2021,SA chrome production ~16 million tonnes,USGS,South Africa,16,16 million tonnes/yr,SA produces 16M tonnes; #1 producer with 36% of world share,USGS Mineral Commodity Summary
2022,China imports growing chrome volume,China customs,Global/South Africa,Unknown,Import growth,China takes majority of SA chrome output for stainless steel production,Wikipedia - Chrome market
2023,SA chrome output ~17 million tonnes,DMR,Bushveld Complex,17,17 million tonnes/yr,Output growth continues despite rail and power constraints,DMR Mining Statistics
2023,Private power investment for smelters,Industry,Withbank/Mpumalanga,Unknown,Solar/wind,Ferrochrome smelters invest in own solar and wind generation to bypass Eskom,Wikipedia - Renewable energy in SA
2024,Transnet rail constraints impact chrome,Transnet,Bushveld Complex,Unknown,Logistics,Rail performance poor; chrome stockpiles build at mines,Wikipedia - Transnet crisis
2025,SA world #1 chrome producer reaffirmed,USGS,South Africa,~18,~36% share,South Africa consistently #1; ~20 billion tonnes of reserves,USGS Mineral Commodity Summary 2025
2026,Stainless steel demand growth,Industry,Global,Unknown,Growing market,Chrome demand tied to infrastructure and green construction; stainless steel consumption rising,Industry projections
