Year,Event,Key_Figure,Location,Production_Million_Tonnes,Key_Metric,Notes,Source
1774,Manganese isolated as element,Johan Gottlieb Gahn,Sweden,Unknown,First isolation,Swedish chemist isolates pure manganese metal from pyrolusite ore,Wikipedia - Manganese
1830s,Manganese used in steelmaking,Various,Europe,Unknown,Unknown,Discovery that adding manganese removes sulphur/oxygen from molten steel improves quality,Wikipedia - Manganese
1875,Manganese discovered in Northern Cape,Unknown,Northern Cape,Unknown,Unknown,Early reports of manganese deposits in the Northern Cape; no commercial mining,Wikipedia - Mining industry of South Africa
1900s,Kalahari Manganese Field discovered,Unknown,Northern Cape,Unknown,Unknown,One of world's largest deposits discovered near Hotazel; largest on Earth,Wikipedia - Kalahari Manganese Field
1920s,First commercial manganese mining in SA,SAMANCOR,Northern Cape,Unknown,Small-scale,SAMANCOR (South African Manganese Corporation) begins operations,Wikipedia - SAMANCOR
1930s,Manganese exports begin,Various,Northern Cape,Unknown,Unknown,Manganese exported via Port Elizabeth and Saldanha; small volumes at first,Wikipedia - Manganese in South Africa
1950s,Manganese production grows,SAMANCOR / Assmang,Northern Cape,~1,~1 million tonnes,Post-war steel boom drives demand; open-pit mining expands,Wikipedia - Kalahari Manganese Field
1960s,Sishen iron ore line benefits manganese,Transnet,Northern Cape,Unknown,Unknown,Sishen-Saldanha railway construction enables bulk manganese export,Wikipedia - Saldanha Bay
1970s,Manganese production ~3 million tonnes,Industry,Northern Cape,~3,3 million tonnes/yr,SA's manganese output grows; major exporter to Japan and Europe,Wikipedia - South Africa mining industry
1980,Manganese production ~5 million tonnes,Industry,Northern Cape,~5,5 million tonnes/yr,SA becomes world's largest exporter of manganese ore,Wikipedia - Manganese
1990s,Post-apartheid expansion,Various,Northern Cape,~7,7 million tonnes/yr,Liberalization allows new entrants; BHP Billiton acquires SAMANCOR stake,Wikipedia - Manganese
2000,SA holds ~80% of world manganese reserves,USGS,South Africa,Unknown,~80% of world,South Africa possesses 80% of identified global manganese reserves,USGS Mineral Commodity Summary
2003,BHP Billiton acquires SAMANCOR stake,BHP Billiton,Northern Cape,Unknown,Corporate,BHP buys into SAMANCOR; becomes major manganese producer,Wikipedia - BHP
2008,Manganese production ~7 million tonnes,Industry,Northern Cape,~7,7 million tonnes/yr,Commodity super-cycle drives expansion,Wikipedia - Kalahari Manganese Field
2010,Assmang expands Black Rock mine,Assmang,"Black Rock, Northern Cape",Unknown,Major expansion,Mill upgrade increases capacity to 3.3 million tonnes/yr,Wikipedia - Assmang
2013,South32 spun off from BHP,South32,Global/SA,Unknown,Corporate,South32 takes BHP's manganese and other assets; listed on JSE,Wikipedia - South32
2015,SA production 6.8 million tonnes,USGS,South Africa,6.8,6.8 million tonnes/yr,South Africa remains #1 producer at 6.8M tonnes (world's largest),USGS Mineral Commodity Summary
2016,ERA report: manganese for EV batteries,Industry,Global,Unknown,Battery chemistry,Lithium-manganese-oxide (LMO) and LMR-NMC cathode chemistries emerge for EVs,Wikipedia - Lithium-ion battery
2017,Transnet rail constraints affect manganese,Transnet,Sishen-Saldanha line,Unknown,Logistics,Rail shortages limit export capacity; manganese stockpiles grow at mines,Wikipedia - Transnet
2020,SA production ~7.2 million tonnes,USGS,South Africa,7.2,7.2 million tonnes/yr,South Africa still #1; manganese ore top 5 export commodity,USGS Mineral Commodity Summary
2021,EV battery manganese demand grows,Auto industry,Global,Unknown,Battery trend,High-manganese cathode (e.g. LMFP) gains traction as cheaper EV alternative,Wikipedia - Lithium iron phosphate battery
2022,SA production ~7.5 million tonnes,DMR,Northern Cape,7.5,7.5 million tonnes/yr,Manganese production continues steady growth; SA holds top producer position,DMR Mining Statistics
2023,Transnet inefficiency worse,Transnet,Northern Cape,Unknown,R ail crisis,Severe rail underperformance costs manganese sector billions in lost export revenue,Wikipedia - Transnet crisis
2024,Manganese price volatility,Global market,Global,Unknown,Price swings,Manganese prices fluctuate on China demand and supply constraints; SA crucial supplier,Industry reports
2025,Kalahari reserves confirmed largest worldwide,USGS,Northern Cape,Unknown,200+ million tonnes,SA holds 200+ million tonnes reserves; world's largest known deposit,USGS Mineral Commodity Summary 2025
2026,Battery-grade manganese opportunity,Industry,Global/SA,~8,~8 million tonnes/yr,Growing demand for high-purity manganese sulphate for EV batteries; SA well-positioned,Industry projections
