Year,Event,Key_Figure,Location,Production_Tonnes,Key_Metric,Notes,Source
1924,PGMs discovered in Bushveld Complex,Hans Merensky,"Bushveld Complex, Transvaal",Unknown,First discovery,German geologist discovers platinum reef in Bushveld; Merensky Reef named after him,Wikipedia - Bushveld Igneous Complex
1925,Merensky Reef confirmed as major deposit,Hans Merensky,Bushveld Complex,Unknown,Rich platinum ore,Systematic drilling confirms Bushveld contains world's largest PGM deposit,Wikipedia - Merensky Reef
1930s,First commercial PGM mining begins,Various,Rustenburg area,Unknown,~5 tonnes/yr,Early small-scale mining by Rustenburg Platinum Mines,Wikipedia - Platinum in South Africa
1940s,PGM production ramps up for WWII,Various,"Rustenburg, Lydenburg",Unknown,~15 tonnes/yr,Allied war demand for platinum in electrical contacts and catalysts,Wikipedia - Platinum group metals
1950s,Union and Rustenburg mines expand,Johannesburg Consolidated,Bushveld Complex,Unknown,~30 tonnes/yr,Post-war industrial expansion drives PGM demand; catalytic converter not yet invented,Wikipedia - Platinum group metals
1960s,Impala Platinum discovers Bafokeng deposit,Impala Platinum,"Bafokeng, North West",Unknown,Major discovery,Discovery on Bafokeng tribal land; future royalty disputes,Wikipedia - Impala Platinum
1970,PGM annual production,SA Government,South Africa,55,55 tonnes/yr,Platinum output reaches 55 tonnes; South Africa emerges as dominant supplier,Wikipedia - Platinum group metals
1973,Bafokeng royalty agreement signed,Impala/Royal Bafokeng,Bafokeng,Unknown,13% royalty,Royal Bafokeng Nation secures royalty rights over Impala mining operations,Wikipedia - Royal Bafokeng
1975,Catalytic converter invented,GM/Engelhard,USA,Unknown,Unknown,Automotive catalytic converters use platinum and palladium; transforms PGM demand,Wikipedia - Catalytic converter
1980s,PGM production ~100 tonnes,Industry,Bushveld Complex,100,100 tonnes/yr,"Rustenburg, Impala, Western Platinum expand in response to auto demand",Wikipedia - Platinum group metals
1987,Anglo American Platinum (Amplats) formed,Anglo American,Bushveld Complex,Unknown,Corporation,Anglo consolidates PGM interests into Amplats; becomes world's largest producer,Wikipedia - Anglo American Platinum
1990s,Palladium demand surges,Auto industry,Global,Unknown,~200 tonnes/yr,Rise of gasoline catalytic converters drives palladium prices above platinum,Wikipedia - Palladium
1994,South Africa world #1 PGM producer,Industry,South Africa,188,188 tonnes/yr,South Africa produces 188 tonnes platinum; dominant global market position,USGS Mineral Surveys
2000,"PGM industry employs 100,000+",Chamber of Mines,Bushveld Complex,Unknown,"100,000+ jobs","Direct employment peaks; 80,000 platinum and 20,000+ other PGM workers",Wikipedia - Mining industry of South Africa
2008,"Platinum prices peak at $2,300/oz",Global market,Global,Unknown,"$2,300/oz",Financial crisis commodity boom pushes platinum to all-time high price,Wikipedia - Platinum
2010,PGM global production,USGS,South Africa,275,275 tonnes/yr,Platinum: South Africa 275 tonnes (75% of world)
2012,Marikana massacre,Lonmin/Police,Marikana (Rustenburg),Unknown,34 killed,34 striking Amplats sub-contractor workers killed at Lonmin PGM mine,Wikipedia - Marikana massacre
2014,Five-month platinum strike,AMCU,Bushveld Complex,Unknown,Longest strike,"Longest strike in SA history; 70,000 workers; R10 billion lost production",Wikipedia - 2014 South African platinum strike
2019,Sibanye-Stillwater acquires Lonmin,Sibanye-Stillwater,Rustenburg,Unknown,Merger,Sibanye acquires Lonmin for ~$287 million; consolidation of PGM sector,Wikipedia - Sibanye-Stillwater
2020,PGM prices surge on supply fears,Global market,Global,Unknown,"~$2,800/oz",Post-COVID supply chain fears drive platinum and rhodium to record highs,Wikipedia - Platinum
2021,Automotive PGM demand shifts,Global auto,Global,Unknown,Multi-use,EV transition threatens long-term PGM demand for catalytic converters; hydrogen fuel cells offer new market,Wikipedia - Hydrogen fuel cell
2022,South Africa PGM dominance,USGS,South Africa,~300,~70% of world,"PGMs: 70-80% of world supply; 15,000 tonnes global reserves",USGS Mineral Commodity Survey
2023,Green hydrogen PGM use,Various,Global,Unknown,Growing demand,PGMs essential for PEM electrolysers and hydrogen fuel cells; energy transition opportunity,Wikipedia - Hydrogen fuel cell
2023,Amplats production ~4 million oz,Anglo American Platinum,Bushveld Complex,~110,~4M oz/yr,Anglo American Platinum produces ~4 million ounces PGM annually; world's largest producer,Anglo American Platinum FY2023
2024,Energy crisis impacts PGM mining,Industry,Bushveld Complex,Unknown,Load shedding,Eskom load shedding forces PGM mines into private solar generation; 200MW+ of mine-site renewables built,Wikipedia - South African energy crisis
2025,PGM reserves estimate,USGS,South Africa,Unknown,"63,000 tonnes","South Africa holds 63,000 tonnes of PGM reserves (91% of global total)",USGS Mineral Commodity Summary 2025
2026,Bushveld Complex still dominant producer,Industry,Bushveld Complex,~280,~70%,PGM mining remains South Africa's most valuable mining sector by export revenue,Industry estimates
